id,tweet,label
1,I fuck with myself the long way so don?t nobody else got to,1
2,i dont need it ill go get her shit myself cause u buggin the fuck out? LMAOOOOO,1
3,This is why I?ve been celibate for 8 months and haven?t gotten with anyone. I?m focusing on me loving myself and wa,1
4,"I?m so humble and I am really only ever concerned with improving myself, being positive and good vibes ... BUT PLS DONT TEST ME.",1
5,Just told myself I was done buying stuff and going to give up spending so much money.... just bought a new truck,1
6,FionaMcLane6 Couldn?t have said it better myself,1
7,Asking for myself,1
8,"oldtiredfeminis He speaks for us, I think that is why I watched it a couple of times myself. So refreshing to see",1
9,I Haven't  Slept Buy Myself  In A Few Days I'm Finna Be Knocked,1
10,"I thank the Lord for the day and ask that He give me the grace to make it a better day for someone,even if only myself",1
11,I could feel myself stretching with him .. felt great! Thank you,1
12,I will stay true to myself,1
13,"By forgetting the past and by throwing myself into other interests, I forget to worry? -Jack Dempsey",1
14,Once I grow my hair back out after this horrible hair dye I did on myself I?m going to get it professionally dyed again,1
15,Never claimed I did. I speak for myself and myself alone,1
16,Oh my !!! I could feel myself stretching with him .. felt great! Thank you,1
17,"I might be happy with myself, but I still wish I could share that happiness with someone else sometimes",1
18,I feel so guilty.  I'll have to vote liberal to feel okay about myself,1
19,"Nope, definitely not. Lol And I catch myself flexing in the mirror at PF and catch guys staring",1
20,thehill I have to ask myself: what is it going on in the background while Trump spins The same crazy rhetoric abou,1
21,Next month it will be five years since I admitted to myself that I'm not a cisgender male. Eighteen months after th,1
22,So fed up with this job that I'm about to force myself to sleep in this meeting,1
23,cant help myself Dude it?s so overplayed,1
25,Reason 100 why I hate myself,1
27,"RebeccaWalts @hallmarkchannel I didn?t like her during the season, but I?ll probably watch. I can?t help myself. I",1
28,"My job takes me to unexpected places. Today, I find myself in Barker, Niagara County",1
29,good morning,0
30, GREAT night!,0
31,Wow! This seems a more real approach at the reality and veracity of the daily life of soldiers over seas and the im,0
32,Secession is looking better and better.,0
33,I just wanna take the time to thank everyone that follows me and that I follow for all the great laughs!!!,0
34,"No one cares to listen others stories. Titles, images, and money. So western world.",1
35,Ahh. No one cares,1
36,Iam so nervous to go alone ?? Idk why! Iam going to Axxess Friday and Sunday alone and im excited bu,1
37," My preferences vary with my mood. There are definitely times where I thrive alone, and times when I?",1
38,leave us alone.. retributions,1
39,Being alone is therapeutic,1
40,"Me Too, You Not Alone In This",1
41,Never claimed I did. I speak for myself and myself alone.,1
42,Is it bad that I am already always hungry and tired?  Did I choose wrong in a former life?,1
43, No pain meds my guts ripped open. Hating life. I am tired of people telling me i am tough single,1
44,"I kind of got a little tired of arepas since Colombia, I had about a 100 of them over there. Hadn?t eaten one since?",1
45,im tired of fuckboys i want a REAL man! like emperor augustus who built the whole city of pula for his daughter iu,1
46,Wanted to go love at 2pm felt little tired so took a small nap going live soon bathroom break then I should be good,1
47,I'm tired ??,1
48,"I can?t be the only one tired of seeing, without even trying, American politics/drama. Ours is not better but we don?t hear as much.",1
