user,text,place,created_at
Sandor Kozma,These DUMOCRATS are THE LAUGHING STOCK OF THE WORLD!!!!! They NEED TO BE TAKEN OUT BACK BEHIND THE BARN AND WHIPPED? https://t.co/DmqWSmkeo1,"New York, USA",Wed Mar 27 11:02:04 +0000 2019
Sean P. Webster,@ThomasAdshead That?s excellent Tom - I hope some of our former colleagues @EBRD see this! @lecavalf @Rayjayconway,"Ottawa, Ontario",Wed Mar 27 11:02:10 +0000 2019
Kathleen E. Smith,#BarrBrief does not equal #MuellerReport.,"New York, USA",Wed Mar 27 11:02:22 +0000 2019
Susan Evans ??,"Well it?s starting out bright ? (@ Up at dark-thirty? in Deerfield, NY) https://t.co/l7MM8vxEbx https://t.co/vkEgrNl9Y7","New York, USA",Wed Mar 27 11:02:30 +0000 2019
BlackOttawaBiz,"""It is important for children of color to see positive reflections of themselves.? https://t.co/JGPK7niJhg","Ottawa, Ontario",Wed Mar 27 11:02:34 +0000 2019
511NY Central Mohawk,Construction on #US20 EB at NY 12  Junction Sangerfield https://t.co/OundyfxS47,"New York, USA",Wed Mar 27 11:02:38 +0000 2019
511NY - Rochester,Construction on #NY5 Both directions at South Ave https://t.co/25z2xaJFYD,"New York, USA",Wed Mar 27 11:02:38 +0000 2019
511NY Central Mohawk,Construction on #NY12 NB at Shanley Road https://t.co/Rm7mDgWE8n,"New York, USA",Wed Mar 27 11:02:38 +0000 2019
jessica,"Wholesale Kids Clothing Manufacturer in USA and Australia
https://t.co/oaAeacgRqx 
#manufacturers #wholesale #kids? https://t.co/oL6IOvdb0f",Canada,Wed Mar 27 11:02:38 +0000 2019
511NY Central Mohawk,Construction on #NY8 Both directions from US 20 to Holman City Road https://t.co/OCnZY401En,"New York, USA",Wed Mar 27 11:02:38 +0000 2019
511NY Central Mohawk,Construction on #NY5 Both directions from Town of Sullivan; Town of Lenox to Town of Lenox; Village of Wampsville https://t.co/YVDjtPEh8z,"New York, USA",Wed Mar 27 11:02:39 +0000 2019
511NY Central Mohawk,Construction on #NY5 EB at West German Street https://t.co/BVHwO0dIqG,"New York, USA",Wed Mar 27 11:02:39 +0000 2019
511NY Central Mohawk,Construction on #NY13 Both directions from Village of Canastota; Town of Lenox to NY 31 https://t.co/WGTdrriyFO,"New York, USA",Wed Mar 27 11:02:39 +0000 2019
511NY Central Mohawk,Construction on #NY12 NB at US 20 https://t.co/SfqNb1VEzM,"New York, USA",Wed Mar 27 11:02:40 +0000 2019
511 New York,Construction on #US20 EB at NY 12  Junction Sangerfield https://t.co/hy3BeK7aLH,"New York, USA",Wed Mar 27 11:02:44 +0000 2019
511 New York,Construction on #NY5 Both directions at South Ave https://t.co/fCSYk2AjoE,"New York, USA",Wed Mar 27 11:02:46 +0000 2019
Ottawa Weather,"current weather in Ottawa: few clouds, -9?C
78% humidity, wind 2kmh, pressure 1030mb","Ottawa, Ontario",Wed Mar 27 11:02:50 +0000 2019
511 New York,Construction on #NY12 NB at Shanley Road https://t.co/Uklove1imS,"New York, USA",Wed Mar 27 11:02:51 +0000 2019
511 New York,Construction on #NY8 Both directions from US 20 to Holman City Road https://t.co/LSqgZVShwD,"New York, USA",Wed Mar 27 11:02:52 +0000 2019
511 New York,Construction on #NY5 Both directions from Town of Sullivan; Town of Lenox to Town of Lenox; Village of Wampsville https://t.co/zDZsE6vhmX,"New York, USA",Wed Mar 27 11:02:54 +0000 2019
511 New York,Incident on #BronxwhitestoneBridge SB https://t.co/cAI9XB1fIB,"New York, USA",Wed Mar 27 11:02:55 +0000 2019
511 New York,Construction on #NY5 EB at West German Street https://t.co/JqoaGM0QTf,"New York, USA",Wed Mar 27 11:02:56 +0000 2019
511 New York,Construction on #NY13 Both directions from Village of Canastota; Town of Lenox to NY 31 https://t.co/o0Q83qyMF4,"New York, USA",Wed Mar 27 11:02:57 +0000 2019
511 New York,Construction on #NY12 NB at US 20 https://t.co/anJOevqYdh,"New York, USA",Wed Mar 27 11:03:00 +0000 2019
Scientist Tiger,@sciencegeist Very birthday to your daughter. Much age.,"Ottawa, Ontario",Wed Mar 27 11:03:12 +0000 2019
